Character1,Character2,MovieID
Tony Stark,Iron Man,av4
Steve Rogers,Captain America,av4
Bruce Banner,Hulk,av4
Thor,Thor,av4
Natasha Romanoff,Black Widow,av4
Clint Barton,Hawkeye,av4
"James ""Rhodey"" Rhodes",War Machine,av4
Scott Lang,Ant-Man,av4
Carol Danvers,Captain Marvel,av4
Nebula,Nebula,av4
Okoye,Okoye,av4
Wong,Wong,av4
Happy Hogan,Happy Hogan,av4
Rocket,Rocket,av4
Pepper Potts,Pepper Potts,av4
Thanos,Thanos,av4
Dr. Stephen Strange,Dr. Stephen Strange,av4
T'Challa,Black Panther,av4
Peter Parker,Spider-Man,av4
Gamora,Gamora,av4
Wanda Maximoff,Wanda Maximoff,av4
Sam Wilson,Falcon,av4
Bucky Barnes,Winter Soldier,av4
Loki,Loki,av4
Mantis,Mantis,av4
Drax the Destroyer,Drax the Destroyer,av4
Shuri,Shuri,av4
Thaddeus Ross,Thaddeus Ross,av4
Maria Hill,Maria Hill,av4
M'Baku,M'Baku,av4
Ebony Maw,Ebony Maw,av4
Ned,Ned,av4
Groot,Groot,av4
Peter Quill,Star-Lord,av4
Nick Fury,Nick Fury,av4
Johann Schmidt ,Red Skull,av4
Corvus Glaive,Corvus Glaive,av4
Cull Obsidian,Cull Obsidian,av4
Proxima Midnight,Proxima Midnight,av4
